Module,Enrichment_Number,Title,Description
Weather v1.1,1,Dew Point Calculation,"Using information learned about dew point, calculate dew point when given temperature and humidity."
Weather v1.1,2,Temperature Conversion,"Convert temperatures from Celsius to Fahrenheit and Fahrenheit to Celsius."
Weather v1.1,3,Temperature Equivalence,"Answer the following question: At what temperature in Celsius would be the same as the temperature in Fahrenheit?"
Weather v1.1,4,Relative Humidity Calculation,"After learning about relative humidity, calculate relative humidity with the given temperature and water content."
Where in the World,1,Diagonals,"Write an equation to find the length of d in the graphic shown."
Where in the World,2,Distances,"Find the distance between the points shown. Remember to convert the latitude and longitude to decimal degrees. Use the equation Decimal degrees = dd + (mm/60) + (ss/3600). Use the distance equation to find the distance between the two locations. Tip: whole degrees = dd; minutes = mm; seconds = ss"
Organism Reproduction v1.1,1,Flowering Plants,"There are about 285,000 flowering plants. This represents about 66% of all species of plants. Approximately how many species of plants exist?"
Organism Reproduction v1.1,2,Plant Development,"The seed of a flowering plant contains a supply of food for the new developing plant. Using the resource books located in the Module library, identify another name for this developing plant."
Organism Reproduction v1.1,3,Edible Plants Statistics,"Scientists estimate that there are 80,000 kinds of edible plants on Earth. Today, only about 150 kinds of edible plants are widely grown by people. Determine the percentage of all edible plants grown by people."
Body Systems,1,Bones,TSW work with a partner to identify bones and joints by location and category on the mini-skeleton and joint models.
Body Systems,2,Intestines,TSW learn about the intestines and utilize math skills by working with a partner to 1. create a scale drawing of the small and large intestines after doing online research for the dimensions of both in an average human. 2. Explain the makeup and main function of the integumentary system. 3. Calculate the recommended caloric intake for students their age based on average physical traits.
Body Systems,3,Gas Exchange,"TSW work in teams to determine the amount of carbon dioxide and oxygen in the air based on the information given in the enrichment list. They will then all exercise in the same room (jumping jacks, run in place, etc.) for two minutes and recalculate the percentages of each gas. They will make a poster comparing the difference in percentages and the reasons they believe there are changes."
Immunology,1,Book Reports,Students complete book reports on immunology-related topics.
Reactions,1,Balancing Equations,Students practice balancing chemical equations.
Reactions,2,Forming Ionic Compounds,Students work with forming ionic compounds.
Reactions,3,Calculating Molecular Mass,Students learn to calculate molecular mass of compounds.
Food Science,1,Density and Enzymatic Browning,Students will calculate the density of two egg whites for a meringue before it is beaten with a hand mixer and what the density is for the same egg whites after it has been beaten with a hand mixer. Students will watch a video on enzymatic browning to learn what causes food to brown and how it can be prevented.
Food Science,2,Fermentation,Students will watch a video on fermentation to learn what fermentation is and why it is important.
Food Science,3,Food Preservation,Students will watch a video on food preservation to learn different ways to preserve food and the overall goal in packaging foods to preserve it.
Food Science,4,Analogies,"What is to What—Students will complete the following analogies: acid: vinegar base: __, German shepherd: dog glucose: __, grams: mass pounds: __, crunch: sound ___: mouthfeel"
Climate & Biomes,1,Career Research,Research related career fields and write a profile of the one that most interests you.
